专利号,专利名称,专利类型,申请日,公开日,授权日,专利代理机构,专利法律状态,申请人类型,主申请人名称,主申请人地址,主申请人地址国家,累计被引用量,主分类号,专利分类号,专利分类号数量,国民经济行业分类代码,国民经济行业分类名称,大类,子类别
CN106181340B,汽车传动轴上卡紧环自动装配装置,发明授权,2015-04-29,2016-12-07,2018-11-02,上海光华专利事务所(普通合伙),授权,企业,武汉联航机电有限公司,430090 湖北省武汉市汉南区幸福工业园幸福园路22号,CHN,.,B23P19/04(2006.01),B23P19/04(2006.01),1.0,3422.0,金属成形机床制造,整车组装,传动系统生产
CN111055740B,一种集成杯托和扶手加热制冷的扶手结构,发明授权,2019-12-31,2020-04-24,2020-12-15,武汉智权专利代理事务所(特殊普通合伙),发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60N2/75(2018.01),B60N2/75(2018.01);B60N3/10(2006.01),2.0,3660.0,汽车零部件及配件制造,辅助系统生产,健康环保装置生产
CN107598622B,涡轮壳装夹夹具,发明授权,2017-09-19,2018-01-19,2019-04-02,北京远大卓悦知识产权代理事务所(普通合伙),授权,企业,武汉鸿博鑫科技有限公司,430090 湖北省武汉市汉南区纱帽街幸福工业园鸿联机械工业园3-6号车间栋1-1层夹层2层2室,CHN,,B23Q3/08(2006.01),B23Q3/08(2006.01);B23B31/103(2006.01),2.0,3425.0,机床附件制造,研发与设计整车组装辅助系统生产,制造工艺研发与设计模具生产
CN104985559B,一种四连杆机罩铰链的装配定位工具及装配方法,发明授权,2015-07-15,2015-10-21,2016-08-17,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,B25B27/14(2006.01),B25B27/14(2006.01);B25B27/00(2006.01),2.0,3322.0,手工具制造,研发与设计整车组装,制造工艺研发与设计整车组装
CN109128834B,一种汽车减震器活塞杆的攻丝设备,发明授权,2018-10-16,2019-01-04,2019-07-12,北京风雅颂专利代理有限公司,授权,企业,武汉东振机电设备有限公司,430090 湖北省武汉市汉南区纱帽街汉南大道1148号加工车间1-2层2号,CHN,,B23P23/02(2006.01),B23P23/02(2006.01);B23G1/00(2006.01),2.0,3421,金属切削机床制造,整车组装辅助系统生产,专用技术研发与设计汽车测试
CN108088448B,一种高精度车道组与传统道路的匹配方法及装置,发明授权,2017-11-21,2018-05-29,2020-04-21,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G01C21/32(2006.01),G01C21/32(2006.01);G06F16/29(2019.01),2.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计,专用技术研发与设计
CN103972989B,一种基于光纤通信的智能低压开关柜综合监控系统,发明授权,2014-05-29,2014-08-06,2016-05-25,武汉科皓知识产权代理事务所(特殊普通合伙),专利权的终止,企业,昌华电气设备集团有限公司,430050 湖北省武汉市经济技术开发区莲湖路80号昌华工业园,CHN,,H02J13/00(2006.01),H02J13/00(2006.01),1.0,3829.0,其他输配电及控制设备制造,电气设备生产,智能装置生产
CN106042169B,一种箱梁底模系统,发明授权,2016-06-13,2016-10-26,2018-08-24,武汉开元知识产权代理有限公司,授权,企业,中交第二航务工程局有限公司,430040 湖北省武汉市东西湖区金银湖路11号,CHN,.,B28B17/00(2006.01),B28B17/00(2006.01);B28B23/02(2006.01);B66F11/00(2006.01),3.0,3515.0,建筑材料生产专用机械制造,研发与设计车身制造,制造工艺研发与设计模具生产
CN104859490B,用于汽车后排座椅的地钩锁解锁机构,发明授权,2015-05-14,2015-08-26,2017-05-10,武汉开元知识产权代理有限公司,授权,企业,东风李尔汽车座椅有限公司,430050 湖北省武汉市经济技术开发区创业道128号,CHN,,B60N2/02(2006.01),B60N2/02(2006.01),1.0,3660.0,汽车零部件及配件制造,整车组装,座椅生产
CN104148918B,一种减震器压装机,发明授权,2014-08-08,2014-11-19,2016-08-24,北京华沛德权律师事务所,授权,企业,湖北机电院装备制造有限责任公司,430200 湖北省武汉市江夏区大桥新区民营工业园内,CHN,,B23P19/02(2006.01),B23P19/02(2006.01);B23P19/027(2006.01),2.0,3422.0,金属成形机床制造,整车组装,专用技术研发与设计
CN110098625B,一种无缝切换的换相装置及方法,发明授权,2019-05-13,2019-08-06,2020-10-30,北京轻创知识产权代理有限公司,发明专利权授予,企业,武汉武新电气科技股份有限公司,430345 湖北省武汉市黄陂区武湖工业园立山路,CHN,.,H02J3/26(2006.01),H02J3/26(2006.01),1.0,3829.0,其他输配电及控制设备制造,研发与设计电气设备生产,专用技术研发与设计电控系统生产
CN108709561B,一种基于全局路网特征的不同尺度数据的匹配算法,发明授权,2018-04-15,2018-10-26,2020-10-30,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G01C21/32(2006.01),G01C21/32(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计,专用技术研发与设计
CN109113904B,一种坡度自适应系统用柴油输油泵总成,发明授权,2018-09-17,2019-01-01,2020-11-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F02M37/04(2006.01),F02M37/04(2006.01),1.0,3412.0,内燃机及配件制造,辅助系统生产,燃料供给系统生产
CN108593167B,一种同时感知压力与气敏的柔性电子皮肤及其制备方法,发明授权,2018-03-20,2018-09-28,2019-12-24,武汉东喻专利代理事务所(普通合伙),授权,企业,武汉铂纳智感科技有限公司,430070 湖北省武汉市洪山区现代光谷世贸中心K栋13层,CHN,,G01N27/00(2006.01),G01N27/00(2006.01);G01L5/00(2006.01),2.0,3544.0,制药专用设备制造,研发与设计辅助系统生产,专用技术研发与设计智能装置生产
CN110131317B,带阻尼材料层的轴承盖及滑动轴承,发明授权,2019-04-23,2019-08-16,2020-04-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F16C35/10(2006.01),F16C35/10(2006.01);F16C35/02(2006.01),2.0,3451.0,轴承制造,发动机制造,发动机配件生产
CN107654284B,汽油机冷却水高温保护系统及其控制方法,发明授权,2017-09-25,2018-02-02,2019-10-08,武汉开元知识产权代理有限公司,著录事项变更,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,,F01P7/16(2006.01),F01P7/16(2006.01);F01P7/08(2006.01);F02D41/30(2006.01);F02P5/15(2006.01);B60H1/00(2006.01),5.0,3412,内燃机及配件制造,辅助系统生产发动机制造,冷却系统生产智能装置生产
CN109578129B,一种发动机冷却水温控制系统及方法,发明授权,2018-12-20,2019-04-05,2020-08-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F01P7/16(2006.01),F01P7/16(2006.01),1.0,3412,内燃机及配件制造,发动机制造,冷却系统生产
CN108083157B,目标车辆迁移抬升的方法、装置及系统,发明授权,2017-12-15,2018-05-29,2019-06-14,北京众达德权知识产权代理有限公司,授权,企业,武汉华志机器人产业技术研究院有限公司,430014 湖北省武汉市江岸区汉黄路888号岱家山科技创业城,CHN,,B66F3/24(2006.01),B66F3/24(2006.01);B66F3/35(2006.01),2.0,3431.0,轻小型起重设备制造,研发与设计整车组装,专用技术研发与设计整车组装
CN109342085B,换挡机构模拟验证方法,发明授权,2018-11-28,2019-02-15,2020-02-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,G01M17/007(2006.01),G01M17/007(2006.01),1.0,4015.0,试验机制造,研发与设计,专用技术研发与设计汽车测试
CN104986018B,一种汽车天窗双头驱动机构,发明授权,2015-06-16,2015-10-21,2017-08-11,武汉开元知识产权代理有限公司,无效公告,企业,武汉凯沃森天窗系统有限公司,430056 湖北省武汉市武汉经济技术开发区珠山湖大道全力南路凯沃森工业园,CHN,,B60J7/057(2006.01),B60J7/057(2006.01);B60J3/00(2006.01),2.0,3660.0,汽车零部件及配件制造,整车组装,车窗生产
CN108131214B,一种可变压缩比发动机的活塞连接结构,发明授权,2017-12-20,2018-06-08,2019-11-05,武汉开元知识产权代理有限公司,授权,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,,F02F3/00(2006.01),F02F3/00(2006.01),1.0,3412.0,内燃机及配件制造,发动机制造,曲柄连杆机构生产
CN104908759B,一种漏斗车的端墙及使用端墙的漏斗车,发明授权,2015-06-18,2015-09-16,2018-01-23,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏区大桥新区,CHN,.,B61D7/00(2006.01),B61D7/00(2006.01),1.0,3711,铁路机车车辆及动车组制造,整车组装,车厢生产
CN107404251B,一种全桥双向逆变模块,发明授权,2017-08-28,2017-11-28,2019-10-15,北京汇泽知识产权代理有限公司,授权,企业,武汉华中数控股份有限公司,430223 湖北省武汉市东湖新技术开发区庙山小区华中科技大学科技园,CHN,,H02M7/797(2006.01),H02M7/797(2006.01);H02M1/34(2007.01),2.0,3821.0,变压器、整流器和电感器制造,电气设备生产,电控单元生产
CN105973247B,一种自定义道路数据生成方法和装置,发明授权,2016-06-30,2016-09-28,2020-06-30,武汉河山金堂专利事务所(普通合伙),发明专利权授予,企业,武汉光庭信息技术股份有限公司,430079 湖北省武汉市东湖开发区光谷软件园一期以西、南湖南路以南光谷软件园六期2幢8层208号,CHN,.,G01C21/32(2006.01),G01C21/32(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计,专用技术研发与设计
CN109131284B,气压式缓速器及其缓速方法与控制模块,发明授权,2018-07-27,2019-01-04,2020-04-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60T10/00(2006.01),B60T10/00(2006.01),1.0,3660.0,汽车零部件及配件制造,辅助系统生产汽车底盘生产,智能装置生产制动系统生产
CN104494614B,用于漏斗车的端墙、侧墙与漏斗脊的连接结构,发明授权,2014-11-28,2015-04-08,2017-01-11,武汉开元知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61D7/00(2006.01),B61D7/00(2006.01);B61D17/06(2006.01);B61D17/08(2006.01),3.0,3711.0,铁路机车车辆及动车组制造,车身制造,车身壳体生产
CN104728312B,定位块防旋转结构的整体式卡钳气压盘式制动器,发明授权,2015-01-27,2015-06-24,2017-04-19,北京汇泽知识产权代理有限公司,授权,企业,武汉元丰汽车零部件有限公司,430050 湖北省武汉市东湖新技术开发区光谷大道299号,CHN,,F16D55/22(2006.01),F16D55/22(2006.01);F16D65/14(2006.01);F16D121/02(2012.01),3.0,3459.0,其他传动部件制造,整车组装辅助系统生产,制动系统生产
CN107706040B,一种固封极柱及其生产方法,发明授权,2017-09-19,2018-02-16,2019-09-24,武汉大楚知识产权代理事务所(普通合伙),授权,企业,霍立克电气有限公司,430223 湖北省武汉市东湖开发区华师园路5号武汉华中师大科技园发展有限公司办公楼（1号楼）第四层,CHN,,H01H33/662(2006.01),H01H33/662(2006.01);H01H33/664(2006.01);H01H11/00(2006.01);H01H9/52(2006.01),4.0,3562.0,电子工业专用设备制造,发动机制造,发动机配件生产
CN105217046B,具有柔性排气管的排气通道,发明授权,2015-09-28,2016-01-06,2017-08-29,北京华沛德权律师事务所,授权,企业,易瓦特科技股份公司,430000 湖北省武汉市江岸区后湖街石桥一路5号4栋1层,CHN,,B64D33/04(2006.01),B64D33/04(2006.01),1.0,3741.0,飞机制造,发动机制造,排气系统生产
CN110640037B,一种高精度送料的冲压成型设备,发明授权,2019-11-01,2020-01-03,2020-11-17,北京远大卓悦知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉枭龙汽车技术有限公司,430100 湖北省武汉市蔡甸区常福镇土山村三组,CHN,.,B21D43/00(2006.01),B21D43/00(2006.01);B21D43/02(2006.01);B21D43/10(2006.01),3.0,3311,金属结构制造,研发与设计车身制造,制造工艺研发与设计模具生产
CN103575644B,匹配浇筑混凝土接触面摩擦系数试验方法,发明授权,2013-11-06,2014-02-12,2016-04-27,武汉开元知识产权代理有限公司,授权,企业,中交第二航务工程局有限公司,430040 湖北省武汉市东西湖区金银湖路11号,CHN,,G01N19/02(2006.01),G01N19/02(2006.01),1.0,3544.0,制药专用设备制造,研发与设计,制造工艺研发与设计
CN105299473B,一种管道声纳视频两栖检测方法及系统,发明授权,2015-09-21,2016-02-03,2017-12-12,北京轻创知识产权代理有限公司,授权,企业,武汉特瑞升电子科技有限公司,430047 湖北省武汉市东西路区银柏路51号,CHN,,F17D5/00(2006.01),F17D5/00(2006.01),1.0,4090.0,其他仪器仪表制造业,研发与设计辅助系统生产,专用技术研发与设计智能装置生产
CN108928272B,汽车后排防下潜方法及其装置,发明授权,2018-08-08,2018-12-04,2019-10-08,武汉开元知识产权代理有限公司,授权,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,,B60N2/427(2006.01),B60N2/427(2006.01),1.0,3660,汽车零部件及配件制造,研发与设计辅助系统生产,专用技术研发与设计汽车安全装置生产
CN107719102B,新能源汽车双系统共用膨胀水箱,发明授权,2017-09-18,2018-02-23,2020-05-19,武汉开元知识产权代理有限公司,著录事项变更,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60K11/02(2006.01),B60K11/02(2006.01),1.0,3660.0,汽车零部件及配件制造,辅助系统生产,冷却系统生产
CN110421089B,一种五金制品卷边冲压模具,发明授权,2019-08-12,2019-11-08,2020-12-11,,发明专利权授予,企业,武汉普泰金属制造技术有限公司,430000 湖北省武汉市蔡甸区奓山街常福必大工业园5号厂房2号房屋,CHN,.,B21D51/26(2006.01),B21D51/26(2006.01);B21D19/14(2006.01);B21D37/10(2006.01);B21D43/00(2006.01),4.0,3311.0,金属结构制造,车身制造,模具生产
CN105170901B,大型铸钢件湿型粘土砂处理系统及砂处理方法,发明授权,2015-10-26,2015-12-23,2017-05-17,武汉开元知识产权代理有限公司,专利申请权、专利权的转移,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B22C5/06(2006.01),B22C5/06(2006.01);B22C5/04(2006.01);B22C5/08(2006.01);B22C5/00(2006.01),4.0,3423.0,铸造机械制造,研发与设计车身制造,制造工艺研发与设计模具生产
CN104690274B,一种聚晶金刚石‑硬质合金复合片及其制备方法,发明授权,2014-12-31,2015-06-10,2017-11-17,湖北武汉永嘉专利代理有限公司,授权,企业,中石化石油机械股份有限公司,430223 湖北省武汉市东湖新技术开发区华工科技园一路五号,CHN,,B22F7/02(2006.01),B22F7/02(2006.01);B22F3/16(2006.01),2.0,3391.0,锻件及粉末冶金制品制造,研发与设计辅助系统生产,制造工艺研发与设计复合材料生产
